,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
52,9.9,0.4,0.5,2.6,0.077,16.0,63.0,0.9991,3.35,0.82,10.3,6
53,7.6,0.88,0.21,2.2,0.077,28.0,54.0,0.9963,3.27,0.47,9.8,5
54,9.8,0.42,0.39,3.3,0.103,28.0,129.0,0.9976,3.26,0.71,10.6,5
55,7.8,0.78,0.08,1.7,0.084,16.0,72.0,0.9971,3.02,0.48,9.7,5
56,9.3,0.5,0.49,1.5,0.098,5.0,15.0,0.99498,3.28,0.64,9.2,6
57,7.4,0.6,0.26,1.9,0.08,23.0,71.0,0.99612,3.37,0.52,9.9,5
58,7.8,0.59,0.12,2.3,0.0819999999999999,32.0,46.0,0.9964,3.29,0.55,9.5,5
59,7.0,0.66,0.0,1.8,0.057,7.0,16.0,0.99456,3.38,0.54,11.2,5
60,7.4,0.51,0.23,1.5,0.063,21.0,74.0,0.99578,3.3,0.6,9.8,5
61,7.2,0.74,0.07,2.8,0.089,31.0,92.0,0.99693,3.22,0.52,10.5,5
62,9.4,0.35,0.39,2.9,0.08,32.0,44.0,0.99786,3.32,0.63,10.5,6
63,8.8,0.625,0.19,1.8,0.114,6.0,12.0,0.9969,3.19,0.59,9.8,5
64,8.0,0.825,0.18,1.6,0.074,12.0,87.0,0.99685,3.3,0.55,9.5,5
65,12.8,0.39,0.6,2.2,0.07,12.0,47.0,0.9981,3.09,0.73,10.8,7
66,7.0,0.6,0.0,1.4,0.066,5.0,12.0,0.9972,3.47,0.7,9.5,6
67,7.7,0.57,0.21,2.1,0.076,23.0,143.0,0.9974,3.16,0.62,9.4,5
68,7.4,0.705,0.05,2.2,0.087,21.0,75.0,0.9965,3.51,0.51,9.5,6
69,6.6,0.725,0.06,3.0,0.077,17.0,26.0,0.99489,3.34,0.66,10.1,7
70,7.1,0.66,0.0,4.3,0.0819999999999999,5.0,16.0,0.99787,3.48,0.45,9.6,5
71,6.3,0.73,0.02,2.5,0.066,12.0,77.0,0.99572,3.59,0.52,10.5,5
72,9.3,0.47,0.37,2.6,0.114,10.0,28.0,0.9982,3.17,0.62,9.5,5
73,6.1,0.695,0.0,2.1,0.065,15.0,28.0,0.99531,3.52,0.53,10.0,6
74,7.0,0.56,0.02,2.0,0.077,31.0,54.0,0.9976,3.56,0.62,10.5,6
75,8.9,0.685,0.19,2.4,0.095,32.0,44.0,0.99727,3.23,0.71,9.5,5
76,10.9,0.49,0.44,2.6,0.081,16.0,42.0,1.0032,3.32,0.61,12.0,6
77,7.8,0.43,0.32,2.0,0.083,23.0,58.0,0.99622,3.38,0.78,12.0,5
78,7.2,0.885,0.0,1.6,0.084,7.0,20.0,0.9972,3.51,0.54,9.4,5
79,8.8,0.49,0.24,1.8,0.109,6.0,13.0,0.9968,3.19,0.57,9.5,5
80,9.0,0.34,0.39,2.0,0.064,5.0,15.0,0.9974,3.18,0.57,10.7,6
81,8.2,0.49,0.21,2.5,0.11,10.0,34.0,0.99761,3.21,0.7,9.0,6
82,7.1,0.65,0.02,2.1,0.066,17.0,91.0,0.9962,3.47,0.59,9.5,5
83,5.3,0.43,0.09,1.8,0.048,6.0,21.0,0.99252,3.53,0.76,12.0,7
84,8.0,0.82,0.22,2.3,0.08,11.0,86.0,0.99668,3.31,0.53,9.5,5
85,10.0,0.52,0.33,2.4,0.076,3.0,14.0,0.9978,3.2,0.91,10.1,6
86,8.6,0.39,0.27,1.9,0.055,15.0,28.0,0.99516,3.16,0.8,11.3,5
87,10.4,0.38,0.57,2.3,0.07,5.0,20.0,0.9986,3.13,0.57,11.0,6
88,6.7,0.75,0.01,2.0,0.0579999999999999,9.0,22.0,0.99362,3.59,0.58,10.9,5
89,9.1,0.43,0.55,2.0,0.077,8.0,23.0,0.9976,3.27,0.78,9.6,6
90,7.3,0.6,0.23,1.9,0.077,21.0,110.0,0.9982,3.32,0.58,9.3,5
91,8.0,0.84,0.26,2.1,0.074,27.0,61.0,0.9976,3.4,0.52,9.4,5
92,7.1,0.69,0.0,2.1,0.0559999999999999,6.0,17.0,0.99472,3.41,0.71,12.3,6
93,9.0,0.48,0.49,5.5,0.0969999999999999,9.0,42.0,1.0014,3.32,0.6,10.5,6
94,8.1,0.5,0.29,2.6,0.084,21.0,101.0,0.9972,3.14,0.59,9.5,6
95,12.6,0.51,0.66,1.9,0.081,10.0,39.0,0.9994,3.1,0.69,9.0,6
96,10.0,0.37,0.42,2.0,0.079,26.0,35.0,0.99528,3.14,0.74,10.1,8
97,10.4,0.27,0.53,1.9,0.063,6.0,12.0,0.99604,3.2,1.13,10.5,6
98,8.1,0.64,0.22,2.5,0.096,34.0,143.0,0.99712,3.2,0.48,9.5,5
99,5.6,0.74,0.03,1.9,0.081,7.0,13.0,0.99508,3.56,0.54,9.8,5
100,7.4,0.62,0.06,2.0,0.089,27.0,61.0,0.99621,3.51,0.73,10.7,6
101,9.3,0.28,0.49,2.5,0.0819999999999999,17.0,110.0,0.9982,3.24,0.61,9.8,5
102,8.2,0.7,0.09,3.0,0.039,16.0,42.0,1.00015,3.46,0.74,9.2,5
103,8.8,0.725,0.22,2.5,0.086,18.0,37.0,0.9994,3.1,0.55,9.4,6
104,8.2,0.55,0.14,2.1,0.0559999999999999,14.0,22.0,0.99494,3.26,0.59,11.1,6
105,8.9,0.46,0.39,2.2,0.084,26.0,61.0,0.9971,3.17,0.64,9.3,5
106,5.8,0.52,0.13,2.0,0.075,15.0,21.0,0.99528,3.54,0.47,11.0,4
107,6.8,0.54,0.04,1.9,0.064,16.0,86.0,0.99842,3.62,0.68,9.5,4
108,8.2,0.875,0.05,2.9,0.092,16.0,86.0,0.99739,3.3,0.44,10.5,5
109,7.1,0.33,0.4,1.5,0.0559999999999999,6.0,16.0,0.99396,3.39,0.72,10.9,6
110,7.0,0.66,0.0,1.6,0.08,21.0,110.0,0.99584,3.38,0.57,9.8,5
111,7.2,0.48,0.3,1.9,0.068,20.0,110.0,0.999,3.3,1.15,9.0,4
112,6.6,0.735,0.0,2.4,0.065,17.0,40.0,0.99774,3.47,0.55,9.9,5
113,12.3,0.43,0.49,2.2,0.098,29.0,44.0,0.999,3.13,0.6,10.9,6
114,6.8,0.34,0.27,1.9,0.095,35.0,152.0,0.99854,3.45,0.92,10.5,6
115,7.3,0.24,0.33,4.4,0.093,11.0,18.0,0.99803,3.26,0.58,11.6,6
116,9.9,0.38,0.55,1.7,0.049,6.0,24.0,0.9948,3.27,0.79,12.3,7
117,6.9,0.59,0.22,2.0,0.0819999999999999,23.0,81.0,0.9948,3.38,0.6,10.7,6
118,12.5,0.42,0.64,2.6,0.089,9.0,18.0,0.99842,3.08,0.69,10.4,6
119,8.7,0.47,0.19,4.0,0.088,6.0,14.0,0.9962,3.3,0.64,9.3,6
120,7.5,0.59,0.02,2.1,0.071,24.0,88.0,0.99538,3.34,0.54,10.9,6
121,9.7,0.45,0.49,2.5,0.078,21.0,119.0,0.9982,3.09,0.57,9.4,6
122,7.9,0.6,0.49,2.9,0.08,23.0,67.0,1.00012,3.5,0.49,9.5,5
123,7.5,0.65,0.02,2.4,0.102,5.0,9.0,0.99498,3.37,0.62,10.8,6
124,7.2,0.67,0.0,2.3,0.059,19.0,50.0,0.99242,3.35,0.47,11.0,5
125,9.3,0.27,0.53,5.1,0.074,11.0,38.0,0.99528,3.2,0.77,11.0,7
126,6.8,0.795,0.0,1.7,0.039,18.0,38.0,0.9952,3.36,0.52,10.9,5
127,9.1,0.34,0.33,3.4,0.073,30.0,92.0,0.99564,3.35,0.63,10.8,5
128,9.1,0.745,0.36,2.0,0.084,6.0,21.0,0.9983,3.27,0.48,9.0,5
129,11.9,0.31,0.49,2.9,0.1,6.0,20.0,0.9962,3.15,0.7,10.2,8
130,8.0,0.32,0.52,2.4,0.102,7.0,12.0,0.99647,3.23,0.6,10.0,6
131,9.2,0.46,0.24,3.4,0.077,16.0,46.0,0.9986,3.12,0.65,11.0,7
132,10.0,0.28,0.44,1.9,0.072,25.0,99.0,0.9968,3.22,1.95,10.5,5
133,8.6,0.32,0.43,2.3,0.093,26.0,51.0,0.99734,3.26,0.73,10.8,5
134,7.3,0.62,0.0,1.4,0.068,25.0,42.0,0.9956,3.44,0.58,9.7,5
135,7.0,0.685,0.01,2.2,0.055,11.0,44.0,0.99538,3.33,0.95,11.1,5
136,7.0,0.62,0.06,1.6,0.076,23.0,44.0,0.9963,3.38,0.8,9.5,6
137,9.8,0.8,0.11,2.4,0.083,4.0,8.0,0.99668,3.21,0.57,9.8,5
138,8.3,0.5,0.49,2.3,0.205,5.0,14.0,0.9976,3.19,0.55,9.5,5
139,7.0,0.52,0.14,2.1,0.091,37.5,54.0,0.99712,3.54,0.61,9.9,6
140,7.0,0.74,0.0,2.6,0.093,5.0,12.0,0.99316,3.4,0.63,12.0,6
141,7.8,0.66,0.26,1.9,0.083,11.0,65.0,0.99618,3.38,0.6,9.0,5
142,7.7,0.6,0.26,2.0,0.079,29.0,53.0,0.99628,3.31,0.55,9.8,4
143,10.4,0.21,0.49,2.6,0.074,6.0,21.0,0.99975,3.22,0.93,10.5,6
144,9.6,0.52,0.49,2.9,0.083,16.0,32.0,1.001,3.26,0.54,9.4,5
145,11.9,0.35,0.53,1.6,0.071,5.0,14.0,0.9986,3.17,0.47,9.7,6
146,7.0,0.36,0.3,1.6,0.074,29.0,46.0,0.99438,3.31,0.64,11.2,7
147,6.9,0.37,0.14,2.1,0.063,8.0,16.0,0.99462,3.41,0.64,11.5,6
148,6.0,0.59,0.02,1.4,0.072,32.0,52.0,0.995,3.54,0.58,10.6,5
149,8.9,0.49,0.34,1.9,0.085,41.0,87.0,0.9978,3.3,0.61,9.0,6
150,7.2,0.625,0.12,2.6,0.104,14.0,25.0,0.99593,3.51,0.69,10.8,6
151,8.6,0.3,0.34,2.5,0.068,6.0,12.0,0.99242,3.1,0.87,12.2,7
152,10.4,0.36,0.39,3.3,0.085,7.0,31.0,0.9982,3.26,0.53,11.0,5
153,7.0,0.66,0.02,2.1,0.066,21.0,58.0,0.9972,3.47,0.72,9.7,6
154,6.3,0.48,0.14,1.9,0.077,15.0,46.0,0.9956,3.36,0.63,10.2,5
155,7.8,0.965,0.05,2.3,0.0819999999999999,5.0,14.0,0.9978,3.35,0.48,9.7,6
156,6.6,0.4,0.4,2.6,0.046,8.0,24.0,0.9955,3.25,0.64,10.4,6
157,6.9,0.63,0.03,2.5,0.078,29.0,85.0,0.99746,3.55,0.4,9.5,5
158,9.3,0.36,0.39,1.7,0.075,13.0,35.0,0.9978,3.09,1.06,9.0,6
159,10.2,0.43,0.24,3.3,0.083,17.0,43.0,1.0022,3.26,0.56,10.0,5
160,7.6,0.655,0.09,1.8,0.078,8.0,18.0,0.99476,3.31,0.39,11.5,6
161,7.4,0.5,0.1,1.8,0.106,4.0,14.0,0.9966,3.28,0.55,9.9,5
162,8.8,0.96,0.22,2.5,0.0969999999999999,5.0,13.0,0.9994,3.22,0.49,9.4,5
163,7.9,0.37,0.25,2.4,0.012,16.0,86.0,0.99645,3.43,0.73,10.4,6
164,9.0,0.48,0.31,3.2,0.078,41.0,55.0,0.9981,3.31,0.89,10.0,5
165,7.0,0.57,0.06,2.3,0.078,31.0,131.0,0.9971,3.37,0.62,9.7,5
166,9.0,0.62,0.26,2.6,0.079,27.0,66.0,0.9976,3.39,0.54,10.5,5
167,7.0,0.52,0.0,1.9,0.076,26.0,51.0,0.995,3.34,0.84,10.2,6
168,9.3,0.3,0.5,2.1,0.069,14.0,56.0,0.99735,3.04,0.79,10.1,6
169,5.6,0.66,0.05,2.2,0.049,6.0,14.0,0.99512,3.62,0.57,11.4,6
170,7.5,0.59,0.06,1.6,0.072,7.0,20.0,0.9969,3.43,0.6,9.0,5
171,7.0,0.43,0.32,2.0,0.081,27.0,62.0,0.99736,3.42,0.72,10.0,6
172,6.0,0.785,0.0,1.8,0.068,5.0,14.0,0.996,3.54,0.58,10.0,5
173,7.8,0.6,0.13,2.3,0.078,16.0,86.0,0.99728,3.58,0.53,9.7,6
174,7.2,0.56,0.14,6.3,0.078,9.0,28.0,0.99724,3.35,0.61,9.5,5
175,8.4,0.49,0.28,1.8,0.091,15.0,64.0,0.997,3.28,0.64,9.7,6
176,7.3,0.43,0.24,2.0,0.114,3.0,14.0,0.99648,3.27,0.54,9.5,5
177,7.5,0.27,0.53,3.2,0.1009999999999999,4.0,11.0,0.99562,3.21,0.6,12.4,6
178,7.0,0.705,0.07,2.6,0.1,8.0,15.0,0.99744,3.51,0.65,10.0,7
179,9.1,0.57,0.27,8.8,0.0969999999999999,7.0,11.0,0.99824,3.17,0.63,10.5,7
180,7.4,0.585,0.17,2.7,0.0559999999999999,5.0,14.0,0.9976,3.19,0.48,9.5,6
181,7.2,0.65,0.02,1.5,0.053,12.0,21.0,0.99736,3.34,0.64,10.8,6
182,8.3,0.62,0.27,2.8,0.086,17.0,119.0,0.9984,3.22,0.57,9.2,5
183,9.9,1.0,0.0,2.3,0.106,17.0,50.0,0.99786,3.31,0.55,9.5,4
184,6.6,0.63,0.1,1.9,0.071,45.0,87.0,0.99525,3.46,0.68,10.2,6
185,6.8,0.43,0.14,1.6,0.08,15.0,34.0,0.9955,3.35,0.44,9.9,5
186,10.4,0.39,0.45,1.4,0.08,29.0,66.0,0.99704,3.22,0.65,10.0333333333333,6
187,7.1,0.575,0.22,1.9,0.076,27.0,51.0,0.9946,3.39,0.59,10.1,6
188,6.8,0.49,0.0,6.3,0.085,28.0,52.0,0.99531,3.49,0.77,12.4,7
189,8.4,0.61,0.18,2.0,0.078,10.0,37.0,0.99498,3.14,0.62,12.1,7
190,6.6,0.48,0.31,2.2,0.086,26.0,46.0,0.9948,3.4,0.83,12.3,7
191,6.1,0.695,0.0,2.5,0.094,32.0,94.0,0.99852,3.59,0.6,9.8,5
192,10.0,0.5,0.54,2.5,0.085,7.0,19.0,0.9986,3.12,0.62,9.2,6
193,8.7,0.32,0.25,2.5,0.0969999999999999,26.0,60.0,0.9976,3.21,0.47,9.2,5
194,8.3,0.825,0.22,2.7,0.095,5.0,16.0,0.99688,3.43,0.55,10.4,5
195,10.4,0.39,0.73,1.7,0.1,3.0,8.0,0.9973,3.2,0.79,13.6,8
196,11.6,0.58,0.48,1.8,0.067,6.0,14.0,0.99476,3.1,0.67,10.4,6
197,7.5,0.37,0.52,2.3,0.066,17.0,42.0,0.9934,3.34,0.79,11.1,5
198,8.7,0.41,0.64,2.0,0.07,4.0,10.0,0.99558,3.26,0.74,12.0,6
199,7.1,0.6,0.26,2.1,0.076,23.0,94.0,0.99622,3.37,0.56,9.7,6
200,6.7,0.88,0.0,1.9,0.08,27.0,61.0,0.9968,3.52,0.58,9.7,5
201,7.9,0.43,0.33,2.4,0.332,16.0,69.0,0.9986,3.41,1.06,10.7,6
202,6.7,0.7,0.01,2.1,0.059,7.0,25.0,0.99508,3.44,0.56,11.5,5
203,13.3,0.39,0.49,2.2,0.086,5.0,14.0,1.0002,3.19,0.61,9.3,5
204,7.1,0.96,0.0,1.4,0.079,6.0,12.0,0.99668,3.37,0.56,9.5,5
205,8.8,0.28,0.45,4.7,0.125,11.0,24.0,0.99828,3.27,0.79,11.4,7
206,8.4,1.04,0.24,1.9,0.078,10.0,45.0,0.9958,3.21,0.56,10.1,5
207,13.2,0.34,0.49,3.3,0.092,5.0,15.0,1.0014,3.07,0.78,12.7,7
208,7.4,0.64,0.21,2.1,0.08,23.0,121.0,0.9974,3.32,0.58,9.8,5
209,10.2,0.24,0.44,2.0,0.069,17.0,24.0,0.99728,3.22,0.51,11.0,7
210,5.1,0.56,0.0,1.8,0.057,8.0,20.0,0.99672,3.68,0.86,11.0,5
211,12.3,0.615,0.66,3.0,0.083,5.0,19.0,1.0004,3.19,0.69,10.6,6
212,7.9,0.21,0.43,1.5,0.076,10.0,21.0,0.9958,3.28,0.53,10.4,5
213,7.6,0.38,0.31,2.0,0.0819999999999999,21.0,74.0,0.9976,3.24,0.55,9.5,4
214,12.3,0.38,0.49,2.6,0.098,10.0,42.0,1.0004,3.15,0.61,9.2,5
215,10.3,0.35,0.36,1.8,0.072,6.0,15.0,0.9976,3.15,1.02,11.0,7
216,7.0,0.955,0.0,2.4,0.0579999999999999,29.0,48.0,0.99362,3.36,0.48,12.4,5
217,10.6,0.46,0.09,2.4,0.065,5.0,20.0,0.9986,3.18,0.58,10.0,6
218,13.8,0.49,0.63,2.1,0.084,6.0,11.0,1.0004,3.2,0.93,10.9,6
219,7.0,0.5,0.02,2.3,0.064,32.0,48.0,0.99557,3.35,0.54,10.0,4
220,8.8,0.66,0.45,3.4,0.094,6.0,14.0,0.99852,3.1,0.54,9.2,5
221,8.2,0.87,0.21,1.6,0.08,6.0,15.0,0.9968,3.13,0.66,9.8,3
222,6.7,0.74,0.19,4.0,0.077,26.0,51.0,0.9948,3.39,0.6,12.3,7
223,7.2,0.62,0.06,2.3,0.076,28.0,52.0,0.9948,3.51,0.71,10.8,6
224,7.7,0.65,0.21,4.0,0.077,15.0,65.0,0.99587,3.37,0.55,9.7,5
225,7.4,0.59,0.22,2.3,0.1119999999999999,12.0,45.0,0.9971,3.32,0.54,9.4,7
226,9.9,0.63,0.49,1.9,0.09,20.0,112.0,0.9991,3.03,0.63,9.6,4
227,6.8,0.735,0.0,1.8,0.052,18.0,38.0,0.99467,3.61,0.59,10.9,5
228,8.9,0.31,0.27,3.4,0.074,10.0,21.0,0.99572,3.31,0.81,11.7,6
229,6.7,0.46,0.28,2.4,0.08,13.0,81.0,0.99064,3.34,0.67,9.3,5
230,10.4,0.45,0.49,2.9,0.095,16.0,112.0,1.0004,3.16,0.64,9.2,6
231,8.9,0.5,0.33,1.5,0.057,5.0,12.0,0.99498,3.22,0.74,11.4,6
232,7.9,0.56,0.13,1.9,0.064,48.0,90.0,0.99604,3.23,0.51,9.3,5
233,9.5,0.7,0.29,2.1,0.0819999999999999,34.0,52.0,0.99668,3.3,0.73,10.4,7
234,7.7,0.725,0.12,1.9,0.078,21.0,66.0,0.9963,3.37,0.49,8.7,4
235,11.3,0.18,0.4,3.4,0.066,25.0,60.0,0.9986,3.28,0.71,11.8,7
236,7.3,0.41,0.33,2.5,0.073,17.0,40.0,0.9963,3.34,0.54,10.1,4
237,7.1,0.59,0.02,2.3,0.0819999999999999,23.0,99.0,0.99745,3.52,0.54,9.7,5
238,14.3,0.4,0.6,2.1,0.132,6.0,15.0,1.0004,2.88,0.79,12.9,7
239,7.2,0.52,0.06,1.6,0.062,13.0,45.0,0.9946,3.39,0.79,11.2,7
240,7.6,0.51,0.13,2.0,0.071,20.0,86.0,0.99546,3.32,0.63,11.2,5
241,8.9,0.575,0.22,4.65,0.079,4.0,13.0,0.9982,3.37,0.52,9.5,5
242,6.6,0.54,0.04,2.2,0.076,16.0,37.0,0.9955,3.6,0.63,10.0,6
243,7.7,0.46,0.31,2.6,0.086,30.0,69.0,0.9987,3.38,0.62,9.0,5
244,6.6,0.56,0.29,1.9,0.1689999999999999,20.0,49.0,0.99573,3.24,0.87,10.7,8
245,6.4,0.82,0.03,2.2,0.087,28.0,109.0,0.9967,3.56,0.6,10.8,6
246,6.3,0.33,0.25,1.9,0.05,14.0,45.0,0.9952,3.38,0.53,11.2,5
247,7.7,0.31,0.21,2.1,0.073,15.0,26.0,0.99588,3.27,0.85,9.5,7
248,9.9,0.45,0.24,1.7,0.081,37.5,53.0,0.99692,3.19,0.44,9.5,4
249,6.7,0.56,0.0,1.9,0.0819999999999999,9.0,17.0,0.9934,3.56,0.64,12.5,6
250,7.3,0.28,0.35,2.0,0.077,23.0,54.0,0.9948,3.39,0.6,11.3,6
251,7.9,0.31,0.27,1.9,0.0579999999999999,16.0,36.0,0.99396,3.17,0.4,11.4,6
252,6.2,0.66,0.02,2.1,0.081,29.0,40.0,0.99534,3.53,0.78,11.8,6
253,7.0,0.885,0.26,2.2,0.087,32.0,140.0,0.9983,3.49,0.51,9.4,5
254,6.8,0.48,0.03,2.0,0.063,18.0,40.0,0.9955,3.34,0.6,10.7,6
255,7.6,0.5,0.42,1.4,0.071,6.0,16.0,0.9973,3.36,0.72,9.5,5
256,11.3,0.38,0.57,3.4,0.07,5.0,13.0,1.0,3.17,0.71,11.4,6
257,6.1,0.55,0.13,2.5,0.0559999999999999,14.0,20.0,0.99472,3.55,0.59,11.9,6
258,9.1,0.66,0.0,2.1,0.096,20.0,49.0,0.997,3.22,0.58,9.6,5
259,7.0,0.7,0.0,2.1,0.132,9.0,31.0,0.99636,3.37,0.52,10.0,5
260,8.7,0.36,0.55,2.0,0.128,7.0,16.0,0.9982,3.24,0.85,11.8,6
261,10.2,0.66,0.48,2.7,0.076,15.0,64.0,0.9973,3.04,0.6,9.3,6
262,6.6,0.4,0.49,2.0,0.095,19.0,58.0,0.9968,3.45,0.57,12.7,6
263,7.8,0.54,0.28,3.9,0.078,21.0,77.0,0.99408,3.37,0.77,12.4,7
264,11.9,0.58,0.66,1.5,0.071,3.0,15.0,0.99572,3.08,0.57,10.6,6
265,11.6,0.52,0.66,2.5,0.077,7.0,32.0,0.9988,3.11,0.62,9.2,5
266,7.6,0.49,0.27,2.2,0.079,33.0,141.0,0.99728,3.35,0.57,9.9,5
267,7.4,0.5,0.21,5.6,0.11,28.0,129.0,0.9976,3.28,0.52,9.0,5
268,9.9,0.29,0.4,2.4,0.066,16.0,33.0,0.99572,3.39,0.67,11.7,6
269,13.8,0.35,0.49,2.8,0.075,15.0,28.0,1.0014,3.04,0.68,11.4,6
270,7.8,0.705,0.36,1.7,0.086,12.0,66.0,0.99627,3.29,0.52,10.9,6
271,6.8,0.6,0.08,1.8,0.064,27.0,61.0,0.9948,3.45,0.53,9.5,5
272,6.4,0.36,0.08,2.2,0.075,10.0,44.0,0.9955,3.44,0.58,10.0,5
273,8.3,0.31,0.34,2.3,0.0819999999999999,28.0,71.0,0.9994,3.52,0.77,9.8,6
274,6.6,0.54,0.0,2.9,0.081,17.0,35.0,0.99701,3.56,0.58,9.3,5
275,9.4,0.28,0.32,2.1,0.079,38.0,54.0,0.99622,3.26,0.62,10.6,7
276,8.7,0.78,0.2,2.1,0.092,16.0,86.0,0.9974,3.16,0.49,9.6,5
277,6.4,0.66,0.08,2.1,0.077,11.0,86.0,0.99552,3.58,0.63,9.7,5
278,7.9,0.3,0.34,1.8,0.05,13.0,35.0,0.9972,3.38,0.6,10.8,6
